번호,도서명,분야,저자,역자,출판사,출간일,ISBN,페이지,정가,추천경로
1,"나는 풍요로웠고, 지구는 달라졌다",과학/공학,호프 자런,김은령,김영사,2020-09-04,9788934990307,276,15500,교육청 > 경남교육청 > 2021년 2월 행복한 책읽기
2,소원을 파는 가게,청소년,스테퍼니 S. 톨란,오승민,라임,2020-07-17,9791189208509,152,9800,교육청 > 경남교육청 > 2021년 2월 행복한 책읽기
3,"명견만리 (정치,생애,직업,탐구 편,지금까지 경험하지 못한 새로운 사회를 말하다)",경영/경제,KBS 명견만리 제작팀,,인플루엔셜,2017-06-05,9791186560433,304,15800,교육청 > 경남교육청 > 교육 CEO에게 권하는 책-2017
4,스티브잡스를 꿈꿔봐,아동,임원기,,탐,2011-03-24,9788964960271,0,0,교육청 > 경남교육청 > 진로와 관련된 책
5,"우리들의 커튼콜 (연극 알기, 보기, 느끼기, 만들기)",예술/대중문화,따돌림사회연구모임 연극팀,,마리북스,2020-10-12,9791189943509,242,14000,교육청 > 경남교육청 > 2021년 2월 행복한 책읽기
6,우리말을 알려 드립니다 (남다른 말하기 글쓰기를 위한 우리말 부려쓰기),청소년,유영진,,키다리,2020-10-22,9791157853403,192,12000,교육청 > 경남교육청 > 2021년 2월 행복한 책읽기
7,사람이 날아다니고 물이 거꾸로 흐르는 곳,문학,제레미 테일러,,동연 ,2009-07-14,9788985467841,0,0,교육청 > 경남교육청 > 진로와 관련된 책
8,달님과 소년,청소년,입 스팡 올센,정영은,진선아이,2020-10-27,9791190779173,28,9500,교육청 > 경남교육청 > 2021년 2월 행복한 책읽기
9,방귀 교실,청소년,신채연,,꿈터,2020-10-26,9791188240807,102,11000,교육청 > 경남교육청 > 2021년 1월 행복한 책읽기
10,나만의 북극성을 찾아라2(진로설계편),어린이,"홍기운, 김승",,미디어숲 ,2012-01-27,9788991907409,0,0,교육청 > 경남교육청 > 진로와 관련된 책
11,희망을 나누어 주는 은행가 유누스,아동,박선민,,리젬,2010-01-25,9788992826297,0,0,교육청 > 경남교육청 > 진로와 관련된 책
12,남다르게 놀아야 남다르게 자란다,기술과학,얄리샤T.드반티어,,인디북,2007-08-10,9788958560951,0,0,교육청 > 경남교육청 > 진로와 관련된 책
13,낙서는 창의력의 시작,아동,애플비 편집부,,애플비,2006-05-01,9788957914229,0,0,교육청 > 경남교육청 > 창의성을 기르는 책
14,"리스토어 (언택트 시대, 오프라인 기업들의 8가지 진화 전략)",경영/경제,황지영,,인플루엔셜,2020-10-15,9791191056167,288,16800,교육청 > 경남교육청 > 2021년 1월 행복한 책읽기
15,창의 사고와 표현,문학,"김승종, 전형철, 한세정, 김영건",,한올출판사,2012-02-25,9788994948058,0,0,교육청 > 경남교육청 > 창의성을 기르는 책
16,마법 수학 토크쇼,아동,노구치 데쓰노리,,살림,2008-08-06,9788952209641,0,0,교육청 > 경남교육청 > 창의성을 기르는 책
17,노벨상을 꿈꾸는 과학자들의 비밀노트,자연과학,한국연구재단,,중앙에듀북스,2012-02-15,9788994465111,0,0,교육청 > 경남교육청 > 창의성을 기르는 책
18,"곱창 1인분도 배달되는 세상, 모두가 행복할까?(질문하는 사회 9) (인권)",사회,오찬호,,나무를심는사람들,2020-09-10,9791190275217,200,13000,교육청 > 경남교육청 > 2021년 1월 행복한 책읽기
19,고구마,청소년,최정아|황진희,,걸음동무,2020-09-30,9791190898126,40,14000,교육청 > 경남교육청 > 2021년 1월 행복한 책읽기
20,"피곤한 10대, 제대로 자고 있는 걸까? (밤에 눈이 더 말똥말똥해지는 10대를 위한 수면의 모든 것)",건강,카타리나 쿠이크,황덕령,오유아이,2020-06-25,9791157820887,104,13000,교육청 > 경남교육청 > 2021년 1월 행복한 책읽기
21,유원 (창비청소년문학 96) (2020년 창비청소년문학상 수상작),소설,백온유,,창비,2020-06-19,9788936456962,228,12000,교육청 > 경남교육청 > 2020년 12월 행복한 책읽기
22,나 하나쯤이야,아동,이상배,,소담주니어,2013-11-15,9788956899183,0,0,교육청 > 경남교육청 > 좋은 성격 형성을 위한 책
23,대한민국 어린이라면 꼭 알아야 할 세계사 100대 사건,아동,전지은,,예림당,2010-02-18,9788930233170,0,0,교육청 > 경남교육청 > 좋은 성격 형성을 위한 책
24,마음챙김의 시,시/에세이,류시화,,수오서재,2020-09-17,9791190382267,184,13000,교육청 > 경남교육청 > 2020년 12월 행복한 책읽기
25,칭찬의 심리학,총류,와다 히데키,,케이디북스,2010-12-15,9788991197800,0,0,교육청 > 경남교육청 > 좋은 성격 형성을 위한 책
26,재운이,아동,윤동재,,창작과비평사,2002-12-20,9788936445355,0,0,교육청 > 경남교육청 > 좋은 성격 형성을 위한 책
27,글자 없는 그림책,아동,이은홍,,사계절,2000-12-10,9788971967393,0,0,교육청 > 경남교육청 > 꿈이 있는 그림책
28,소통,총류,김경옥,,재승출판,2011-11-21,9788994217147,0,0,교육청 > 경남교육청 > 꿈이 있는 그림책
29,바오밥 환상곡 (오빠가 된 소년의 한 뼘 성장기),가정/생활/요리,양준서,,봄들,2020-06-25,9791196730048,152,12000,교육청 > 경남교육청 > 2020년 12월 행복한 책읽기
30,꼬리 여덟 개 잘린 구미호가 다녀갔어,청소년,김미희,,키위북스(어린이),2020-06-25,9791185173726,40,15000,교육청 > 경남교육청 > 2020년 12월 행복한 책읽기
31,고릴라,아동,앤서니 브라운,,비룡소,1998-10-29,9788949110486,0,0,교육청 > 경남교육청 > 꿈이 있는 그림책
32,이토록 멋진 곤충,청소년,안네 스베르드루프-튀게손,조은영,단추,2020-07-24,9791189723132,136,17000,교육청 > 경남교육청 > 2020년 12월 행복한 책읽기
33,오늘은 도서관 가는 날(양장본 HardCover),청소년,조셉 코엘료,,노란돼지,2020-04-17,9791159950797,36,13000,교육청 > 경남교육청 > 2020년 9월 행복한 책읽기
34,그림 도둑 준모,아동,오승희,,낮은산,2003-05-30,9788989646075,0,0,교육청 > 경남교육청 > 꿈이 있는 그림책
35,그림 형제 동화집,아동,그림 형제,,보물창고,2012-02-29,9788961702669,0,0,교육청 > 경남교육청 > 꿈이 있는 그림책
36,벼락 맞은 리코더,청소년,류미정,,잇츠북어린이,2020-06-15,9791187903383,116,12000,교육청 > 경남교육청 > 2020년 9월 행복한 책읽기
37,"중학 과학 개념 65(NASA 연구원에게 배우는) (아침부터 밤까지, 내가 경험하는 모든 일이 과학 교과서가 되는 마법!)",과학/공학,케이티 메키시크,,매직사이언스,2020-05-25,9791188535187,296,15000,교육청 > 경남교육청 > 2020년 9월 행복한 책읽기
38,열 문장 쓰는 법 (못 쓰는 사람에서 쓰는 사람으로),시/에세이,김정선,,유유,2020-03-04,9791189683337,160,10000,교육청 > 경남교육청 > 2020년 9월 행복한 책읽기
39,세상을 담은 그림 지도,아동,김향금,,보림,2004-01-10,9788943305239,0,0,교육청 > 경남교육청 > 꿈이 있는 그림책
40,사람에 대한 예의,역사/문화,권석천,,어크로스,2020-06-05,9791190030519,324,15000,교육청 > 경남교육청 > 2020년 9월 행복한 책읽기
41,물개 할망(양장본 HardCover),인문,오미경,,모래알,2020-01-30,9791157852918,44,15000,교육청 > 경남교육청 > 2020년 8월 행복한 책읽기
42,오늘부터 티볼 (일공일삼 61),청소년,박상기,,비룡소,2020-04-21,9788949121888,212,11000,교육청 > 경남교육청 > 2020년 8월 행복한 책읽기
43,그림 그리는 아이 김홍도,아동,정하섭,,보림 ,1997-12-20,8943303378,0,0,교육청 > 경남교육청 > 꿈이 있는 그림책
44,날아라 혹아이,아동,한봉지,,리젬,2006-02-23,9788995748725,0,0,교육청 > 경남교육청 > 꿈이 있는 그림책
45,인어들,아동,신시아 하인리츠,,리젬,2011-08-18,9788992826556,0,0,교육청 > 경남교육청 > 꿈이 있는 그림책
46,호기심 대장 안철수,아동,김옥림,,문이당어린이,2011-02-25,,0,9800,교육청 > 경남교육청 > 진로와 관련된 책
47,독고솜에게 반하면 (제10회 문학동네청소년문학상 대상 수상작),소설,허진희,,문학동네,2020-01-23,9788954670302,232,11500,교육청 > 경남교육청 > 2020년 8월 행복한 책읽기
48,뉴욕도서관으로 온 엉뚱한 질문들(양장본 HardCover) (PECULIAR QUESTIONS AND PRACTICAL ANSWERS: A Little Bit of Wisdom and Whimsy From the Files of the New York Public Library),역사/문화,뉴욕공공도서관,,정은문고,2020-04-10,9791185153353,188,16800,교육청 > 경남교육청 > 2020년 8월 행복한 책읽기
49,우리가 인생이라 부르는 것들 (자기 삶의 언어를 찾는 열네 번의 시 강의),역사/문화,정재찬,,인플루엔셜,2020-02-25,9791189995539,356,16000,교육청 > 경남교육청 > 2020년 8월 행복한 책읽기
50,책벌레들의 책 없는 방학,아동,힐러리 매케이,,시공주니어,2011-02-20,,0,9000,교육청 > 경남교육청 > 진로와 관련된 책
51,아빠의 인생 사용법,아동,토마 스코토,,어린이작가정신,2011-02-22,,0,8500,교육청 > 경남교육청 > 진로와 관련된 책
52,기이한 DMZ 생태공원,인문,강현아,,소동,2020-01-31,9788994750415,42,15000,교육청 > 경남교육청 > 2020년 7월 행복한 책읽기
53,왜 조심해야 돼? (나를 지키는 12달 안전 이야기),청소년,박현숙,,꿈터,2020-03-31,9791188240692,208,13000,교육청 > 경남교육청 > 2020년 7월 행복한 책읽기
54,"소년들을 위한 내 몸 안내서 (목소리와 벨트 아래의 변화에서부터, 혼란스러운 사춘기 내 마음과 SNS의 안전한 사용법까지)",청소년,스콧 토드넘,,휴머니스트,2020-03-02,9791160803693,168,14000,교육청 > 경남교육청 > 2020년 7월 행복한 책읽기
55,악동 삼총사 희망을 쏘다,아동,고정욱,,아이앤북,2010-12-20,,0,9000,교육청 > 경남교육청 > 진로와 관련된 책
56,내 아들아 너의 인생의 선택은 이렇게 하며 살아라,총류,필립 체스터필드,,아이템북스,2011-02-10,,0,7500,교육청 > 경남교육청 > 진로와 관련된 책
57,이솝 우화로 읽는 철학 이야기,역사/문화,박승억,,이케이북,2020-01-03,9791186222270,300,14500,교육청 > 경남교육청 > 2020년 7월 행복한 책읽기
58,당신에게 베토벤을 선물합니다 (당신에게 들려주고 싶은 베토벤 이야기),예술/대중문화,임현정,,원앤원북스,2020-03-05,9791170430629,240,16000,교육청 > 경남교육청 > 2020년 7월 행복한 책읽기
59,거짓말 같은 이야기 (2011 볼로냐 국제 어린이 도서전 라가치 상),아동,강경수,,시공주니어,2011-02-20,,0,9500,교육청 > 경남교육청 > 진로와 관련된 책
60,나는 아이로서 누릴 권리가 있어요,아동,알랭 세레,,고래이야기,2010-12-15,,0,11500,교육청 > 경남교육청 > 진로와 관련된 책
61,경복궁에 간 불도깨비,아동,김미혜,,시공주니어,2011-02-25,,0,10000,교육청 > 경남교육청 > 진로와 관련된 책
62,다산의 마지막 공부 (마음을 지켜낸다는 것),자기계발,조윤제,,청림출판,2018-12-11,9788935212484,304,15000,교육청 > 경남교육청 > 2019년 교육 CEO에게 권하는 책 -3월
63,왕실도서관 규장각에서  조선의 보물찾기 (조선 시대의 놀라운 기록 문화),아동,신병주|이혜숙,,책과함께어린이,2010-09-30,,0,11000,교육청 > 경남교육청 > 진로와 관련된 책
64,별이네 옥수수밭 손님들,아동,김정희,,산하,2010-11-10,,0,9800,교육청 > 경남교육청 > 진로와 관련된 책
65,반짝반짝 (차윤미 장편소설),소설,차윤미,,단비,2018-10-20,9791163500049,232,11000,교육청 > 경남교육청 > 2019년 교육 CEO에게 권하는 책 -3월
66,아무것도 가르치지 않는 선생님,청소년,셰인 페이슬리,,책과콩나무,2019-01-25,9791186490914,160,12000,교육청 > 경남교육청 > 2019년 교육 CEO에게 권하는 책 -3월
67,"지구를 살리는 영화관 (<인터스텔라>에서<옥자>까지, 영화로 펼쳐보는 오늘의 환경 이슈)",사회,환경과교육연구소|권혜선|김찬국|김희경|안재정|조성화,,서해문집,2018-10-20,9788974839598,224,12900,교육청 > 경남교육청 > 2019년 교육 CEO에게 권하는 책 -3월
68,나는 소심해요,청소년,엘로디 페로탱,,이마주,2019-01-10,9791189044107,36,9500,교육청 > 경남교육청 > 2019년 교육 CEO에게 권하는 책 -3월
69,너는 학원 가니 나는 대학 간다 (입시 전문가가 공개하는 대학 입시의 모든 것),어린이,장용호,,북카라반,2011-05-25,,0,12000,교육청 > 경남교육청 > 진로와 관련된 책
70,너의 꿈에는 한계가 없다 (최고의 멘토들이 전하는 직업 이야기),어린이,이영남,,민음인,2011-05-17,,0,12000,교육청 > 경남교육청 > 진로와 관련된 책
71,시가 있는 바닷가 어느 교실,시/에세이,최종득,,양철북,2018-10-19,9788963722818,208,13000,교육청 > 경남교육청 > 2019년 교육 CEO에게 권하는 책 -2월
72,"생물학자의 시선 (다윈에서 도킨스까지, 청소년을 위한 과학 읽기)",과학/공학,최섭,,지성사,2018-10-31,9788978894043,280,19000,교육청 > 경남교육청 > 2019년 교육 CEO에게 권하는 책 -2월
73,행복한 진로학교 (7인의 멘토가 제안하는 직업찾기 발상전환법),어린이,박원순|박기태|송인수,,시사IN북,2011-06-07,,0,12000,교육청 > 경남교육청 > 진로와 관련된 책
74,오돼지(대학생진로설정워크북),어린이,박철균,,옥스비,2012-04-25,9788989867111,0,15000,교육청 > 경남교육청 > 진로와 관련된 책
75,어떤 범생이가,소설,이상권,,시공사,2018-11-01,9788952787637,144,10000,교육청 > 경남교육청 > 2019년 교육 CEO에게 권하는 책 -2월
76,곰팡이 수지 (곰팡이의 거의 모든 것),청소년,레오노라 라이틀,,스콜라,2018-09-07,9788962479706,28,12000,교육청 > 경남교육청 > 2019년 교육 CEO에게 권하는 책 -2월
77,진학보다 진로를 먼저 생각하는 10대의 미래지도,어린이,강보영,,노란우산,2010-02-20,,0,12000,교육청 > 경남교육청 > 진로와 관련된 책
78,진로설정과 경력개발,총류,강길훈,,아카데미아,2012-03-13,,0,17000,교육청 > 경남교육청 > 진로와 관련된 책
79,공부가 재밌어지는 진로의 정석,총류,엄명종,,웅진웰북,2009-03-02,,0,10800,교육청 > 경남교육청 > 진로와 관련된 책
80,핑스 (2018년 제6회 스토리킹 수상작),청소년,이유리,,비룡소,2018-09-03,9788949124384,148,10000,교육청 > 경남교육청 > 2019년 교육 CEO에게 권하는 책 -2월
81,만화로 보는 직업의 세계 1 (진로선택을 위한 10년 후 유망 직업 100),아동,와이즈멘토,,동아일보사,2005-10-31,,0,9000,교육청 > 경남교육청 > 진로와 관련된 책
82,진로 설계와 창의 체험 활동 전략 (입학사정관제 대비를 위한 로드맵 시리즈),총류,조훈|임병욱|김동욱,,넥서스BOOKS,2011-04-30,,0,16500,교육청 > 경남교육청 > 진로와 관련된 책
83,21세기를 위한 21가지 제언 (더 나은 오늘은 어떻게 가능한가),역사/문화,유발 하라리,,김영사,2018-09-03,9788934982975,560,22000,교육청 > 경남교육청 > 2019년 교육 CEO에게 권하는 책 -1월
84,내 안의 새는 원하는 곳으로 날아간다,청소년,사라 룬드베리,,산하,2018-07-31,9788976505057,124,13000,교육청 > 경남교육청 > 2019년 교육 CEO에게 권하는 책 -1월
85,만화로 보는 직업의 세계 5 (진로선택을 위한 10년 후 유망 직업 100),아동,와이즈멘토,,동아일보사,2007-03-27,,0,9000,교육청 > 경남교육청 > 진로와 관련된 책
86,내 꿈은 내가 만든다 (청소년 진로탐색 프로그램),어린이,삼성사회정신건강연구소,,교육과학사,2012-11-20,,0,10000,교육청 > 경남교육청 > 진로와 관련된 책
87,아주 특별하게 평범한 가족에 대하여 (가족이 된다는 것은 어떤 의미인가?),소설,로빈 벤웨이,,상상의힘,2018-09-15,9788997381586,436,14800,교육청 > 경남교육청 > 2019년 교육 CEO에게 권하는 책 -1월
88,색깔의 역사,청소년,클리브 기포드,,노란돼지,2018-07-20,9791159950377,72,19000,교육청 > 경남교육청 > 2019년 교육 CEO에게 권하는 책 -1월
89,그래 엄마 나 미쳤어,어린이,서철인,,맥스미디어,2004-09-20,,0,9800,교육청 > 경남교육청 > 진로와 관련된 책
90,꿈은 이루어 진다 (청소년 진로탐색 워크북),어린이,남성현,,신진리탐구,2009-08-21,,0,12000,교육청 > 경남교육청 > 진로와 관련된 책
91,사라진 루크를 찾는 가장 공정한 방법,청소년,로랑 카르동,,꿈터,2018-07-06,9791188240296,54,54,교육청 > 경남교육청 > 2019년 교육 CEO에게 권하는 책 -1월
92,2미터 그리고 48시간 (유은실 장편소설),소설,유은실,,낮은산,2018-09-10,9791155251096,160,11000,교육청 > 경남교육청 > 2018년 교육 CEO에게 권하는 책 -12월
93,자기 역사를 쓴다는 것 (역사의 흐름 속에서 개인이 삶을 기록하는 방법),역사/문화,다치바나 다카시,,바다출판사,2018-08-14,9788955612080,312,17800,교육청 > 경남교육청 > 2018년 교육 CEO에게 권하는 책 -12월
94,맹준열 외 8인 (이은용 장편소설),소설,이은용,,창비,2018-08-17,9788936456856,240,12000,교육청 > 경남교육청 > 2018년 교육 CEO에게 권하는 책 -12월
95,청소년 직업여행으로 인생을 배운다,어린이,김준성,,신아사,2008-08-20,,0,12000,교육청 > 경남교육청 > 진로와 관련된 책
96,나는 무슨 일 하며 살아야 할까,총류,하종강|이철수|송승훈|배경내|박현희,,철수와영희,2011-05-09,,0,12000,교육청 > 경남교육청 > 진로와 관련된 책
97,까칠한 아이 (제25회 눈높이아동문학상 장편 부문 대상 수상작),청소년,남찬숙,,대교북스주니어,2018-08-01,9788939571112,164,11000,교육청 > 경남교육청 > 2018년 교육 CEO에게 권하는 책 -12월
98,최량의 미래를 찾아 떠난 여행 (하버드 MPP 유학 체험기),어린이,이케다 요이치로,,에이지21,2011-04-09,,0,16000,교육청 > 경남교육청 > 진로와 관련된 책
99,한 권으로 보는 그림 직업 백과,아동,조은주|유수정,,진선아이,2009-08-26,,0,19000,교육청 > 경남교육청 > 진로와 관련된 책
100,숲으로 간 사람들,청소년,안지혜,,창비,2018-07-27,9788936447298,44,12000,교육청 > 경남교육청 > 2018년 교육 CEO에게 권하는 책 -12월
101,내일을 바꾸는 작지만 확실한 행동,학습,시릴 디옹|피에르 라비,,한울림어린이,2018-03-29,9791187517375,72,72,교육청 > 경남교육청 > 교육CEO에게 권하는 11월의 책
102,스티브 잡스를 꿈꿔 봐,총류,임원기,,탐,2011-03-24,,0,9500,교육청 > 경남교육청 > 진로와 관련된 책
103,입시를 이기는 행복력 공부,어린이,시미즈 요시노리,,행복포럼,2009-04-07,,0,9800,교육청 > 경남교육청 > 진로와 관련된 책
104,한국예술종합학교 이야기 (일만시간의 몰입),어린이,현재원,,청어람,2011-03-28,,0,20000,교육청 > 경남교육청 > 진로와 관련된 책
105,방구석 미술관 (가볍고 편하게 시작하는 유쾌한 교양 미술),예술,조원재,,블랙피쉬,2018-08-03,9788968331862,344,344,교육청 > 경남교육청 > 교육CEO에게 권하는 11월의 책
106,"BEE BOOK (비북,생태계를 살리는 꿀벌 이야기)",학습,샬럿 밀너,,청어람아이,2018-07-09,9791158710682,52,13000,교육청 > 경남교육청 > 교육CEO에게 권하는 10월의 책
107,내 인생을 특별하게 만들어 줄 멋진 직업,어린이,캐롤린 보이스,,행간,2009-09-30,,0,12000,교육청 > 경남교육청 > 진로와 관련된 책
108,꿀벌과 시작한 열일곱 (후지미 고등학교 양봉부 이야기),시/에세이,모리야마 아미,,상추쌈,2018-08-18,9788996751403,280,280,교육청 > 경남교육청 > 교육CEO에게 권하는 11월의 책
109,우리와 다른 아이,청소년,엘리사 마촐리,유지연,한울림스페셜,2018-01-05,9788993143614,36,36,교육청 > 경남교육청 >  교육CEO에게 권하는 책-2018
110,세상을 바꾸는 천개의 직업 (박원순의 대한민국 희망 프로젝트),총류,박원순,,문학동네,2011-10-07,,0,15000,교육청 > 경남교육청 > 진로와 관련된 책
111,그건 네 잘못이 아니야! (동의와 허락에 관한 십대들의 스킨십 이야기),역사/문화,피트 왈리스|탈리아 왈리스,,봄풀출판,2018-05-10,9788993677973,64,64,교육청 > 경남교육청 > 교육CEO에게 권하는 11월의 책
112,여행도 하고 돈도버는 여행작가 한번 해볼까,총류,채지형,,위즈덤하우스,2009-08-28,,0,12000,교육청 > 경남교육청 > 진로와 관련된 책
113,청년독립선언 (대기업 인재개발 담당자와 진로전문코치가 전하는 진로의 정석),어린이,엄명종|정강욱|정민규,,심통,2010-07-20,,0,12000,교육청 > 경남교육청 > 진로와 관련된 책
114,꿈꾸는 다락방 2 (실천편),어린이,이지성,,국일미디어(국일출판사),2008-07-28,,0,13500,교육청 > 경남교육청 > 진로와 관련된 책
115,아무 일도 일어나지 않은 날,청소년,박현숙,,꿈터,2018-07-16,9791188240333,116,116,교육청 > 경남교육청 > 교육CEO에게 권하는 11월의 책
116,청소년의 진로탐색과 결정,어린이,문승태,,한국학술정보,2006-09-20,,0,14000,교육청 > 경남교육청 > 진로와 관련된 책
117,대한민국 10대를 인터뷰하다,어린이,김순천,,동녘,2009-08-31,,0,13000,교육청 > 경남교육청 > 진로와 관련된 책
118,사람이 날아다니고 물이 거꾸로 흐르는 곳,총류,제레미 테일러,,동연,2009-07-14,,0,14000,교육청 > 경남교육청 > 진로와 관련된 책
119,칼리의 프랑스 학교 이야기 (질문하고 토론하고 연대하는 프랑스 아이의 성장 비결),가정/생활/요리,목수정,,생각정원,2018-06-22,9791188388370,420,17000,교육청 > 경남교육청 > 교육CEO에게 권하는 10월의 책
120,꿈 희망 미래 (아시아의 빌 게이츠 스티브 김의 성공신화),총류,스티브 김,,21세기북스,2011-01-17,,0,12000,교육청 > 경남교육청 > 진로와 관련된 책
121,진학보다 진로를 먼저 생각하는 10대의 미래지도,어린이,강보영,,노란우산,2010-02-20,,0,12000,교육청 > 경남교육청 > 진로와 관련된 책
122,"어서 와, 마케팅은 처음이지? (한국외대 입학처장의 명쾌한 경영학 수업,탐 사고뭉치 16)",경영/경제,박지혜,,탐,2018-06-01,9788964963760,263,15000,교육청 > 경남교육청 > 교육CEO에게 권하는 10월의 책
123,도깨비폰을 개통하시겠습니까?,청소년,박하익,,창비,2018-03-23,9788936442927,192,192,교육청 > 경남교육청 >  교육CEO에게 권하는 책-2018
124,구미호 식당,소설,박현숙,,특별한서재,2018-05-10,9791188912179,248,12500,교육청 > 경남교육청 > 교육CEO에게 권하는 10월의 책
125,우리 아이 진로 학교보다 부모가 먼저다,총류,헤더 카펜터,,샘터사,2010-10-26,,0,12000,교육청 > 경남교육청 > 진로와 관련된 책
126,"나만의 북극성을 찾아라 2 (진로활동 입학사정관제 포트폴리오, 진로설계편)",어린이,홍기운|김승,,미디어숲,2012-01-27,,0,18000,교육청 > 경남교육청 > 진로와 관련된 책
127,"나만의 북극성을 찾아라 1 (진로활동 입학사정관제 포트폴리오, 진로탐색편)",어린이,홍기운|김승,,미디어숲,2012-01-27,,0,18000,교육청 > 경남교육청 > 진로와 관련된 책
