번호,도서명,분야,저자,역자,출판사,출간일,ISBN,페이지,정가,추천경로
128,내 마음 배송 완료,청소년,송방순,,논장,2018-07-20,9788984143272,124,10000,교육청 > 경남교육청 > 교육CEO에게 권하는 10월의 책
129,꽃을 선물할게,인문,강경수,,창비,2018-04-20,9788936455255,52,52,교육청 > 경남교육청 >  교육CEO에게 권하는 책-2018
130,덤벼라 인생 (고박과 남쌤이 청소년들에게 들려주는 인생론),어린이,남경태|고성국,,철수와영희,2012-02-10,,0,13000,교육청 > 경남교육청 > 진로와 관련된 책
131,Lets go 창의적 체험활동 1 (나의 진로 포트폴리오 만들기),어린이,조경희|김연미|김태옥|박선유|윤석진,,씨마스,2011-12-09,,0,7500,교육청 > 경남교육청 > 진로와 관련된 책
132,"아리스토텔레스, 이게 행복이다!",역사/문화,이성주,,생각비행,2018-04-03,9791187708797,160,160,교육청 > 경남교육청 >  교육CEO에게 권하는 책-2018
133,디자인은 어디에나 있어!,청소년,이남석|이규리|이규린,,창비,2018-03-09,9788936447236,120,120,교육청 > 경남교육청 >  교육CEO에게 권하는 책-2018
134,비전있는 진로 가이드,어린이,해바라기,,지경사,2003-09-25,,0,8000,교육청 > 경남교육청 > 진로와 관련된 책
135,골드 피쉬 보이 (블랙홀 청소년 문고 006),소설,리사 톰슨,양윤선,블랙홀,2018-03-30,9791188974108,403,403,교육청 > 경남교육청 >  교육CEO에게 권하는 책-2018
136,처음엔 사소했던 일,소설,왕수펀,조윤진,뜨인돌출판사,2018-04-12,9788958076827,160,160,교육청 > 경남교육청 >  교육CEO에게 권하는 책-2018
137,열다섯 살 하영이의 스웨덴 학교 이야기 (창의·다양·여유를 배운다),어린이,이하영,,양철북,2008-10-27,,0,9800,교육청 > 경남교육청 > 진로와 관련된 책
138,나를 지키는 힘 (20인의 철학자가 전하는 삶의 중심 찾기),자기계발,임병희,,생각정원,2018-01-25,9791188388202,248,248,교육청 > 경남교육청 >  교육CEO에게 권하는 책-2018
139,왜 언론이 문제일까?,사회,박영흠,,반니,2018-02-15,9791187980438,176,176,교육청 > 경남교육청 >  교육CEO에게 권하는 책-2018
140,지금 고민한 만큼 너는 단단해질 것이다 (존 맥스웰의 10가지 청소년 리더십),어린이,존 맥스웰,,애플북스,2011-12-23,,0,12000,교육청 > 경남교육청 > 진로와 관련된 책
141,"사양합니다, 동네 바보 형이라는 말",사회,류승연,,푸른숲,2018-03-30,9791156757382,306,306,교육청 > 경남교육청 >  교육CEO에게 권하는 책-2018
142,"꿈의 로켓을 쏘다 (로켓박사 채연석의 삶, 로켓, 열정)",어린이,채연석,,북하우스,2008-10-24,,0,10000,교육청 > 경남교육청 > 진로와 관련된 책
143,일본신문장학생 (50만원으로 일본유학가자),총류,김용기,,이비락,2011-03-21,,0,15000,교육청 > 경남교육청 > 진로와 관련된 책
144,행복바이러스 안철수,총류,안철수,,리젬,2009-09-05,,0,10800,교육청 > 경남교육청 > 진로와 관련된 책
145,희망을 나누어 주는 은행가 유누스,아동,박선민,,리젬,2010-01-25,,0,9800,교육청 > 경남교육청 > 진로와 관련된 책
146,하지만...,청소년,안느 방탈,이정주,이마주,2018-04-20,9791189044015,76,76,교육청 > 경남교육청 >  교육CEO에게 권하는 책-2018
147,안녕 사랑 안녕 행복도,청소년,패니 브리트,박선주,책과콩나무,2018-03-15,9791186490860,160,160,교육청 > 경남교육청 >  교육CEO에게 권하는 책-2018
148,호랑이의 눈 (Tiger Eyes),소설,주디 블룸,안신헤,창비,2018-05-18,9788936456849,296,296,교육청 > 경남교육청 >  교육CEO에게 권하는 책-2018
149,청소년 진로 코칭 (10대의 꿈에 날개를 달아 주는),어린이,허은영,,우리교육,2012-03-30,,0,15000,교육청 > 경남교육청 > 진로와 관련된 책
150,내 휴대폰 속의 슈퍼스파이,과학/공학,타니아 로이드 치,임경희,푸른숲주니어,2018-05-15,9791156751632,140,140,교육청 > 경남교육청 >  교육CEO에게 권하는 책-2018
151,우리와 다른 아이,청소년,엘리사 마촐리,유지연,한울림스페셜,2018-01-05,9788993143614,38,13000,교육청 > 경남교육청 > 교육 CEO에게 권하는 책 7~9월
152,달의 뒤편으로 간 사람,총류,베아 우스마 쉬페르트,,비룡소,2009-07-15,,0,9000,교육청 > 경남교육청 > 진로와 관련된 책
153,책 읽는 왕자 (책 속에 분명히 해답이 있을 거야),아동,재키 프렌치,,예꿈,2011-02-15,,0,10500,교육청 > 경남교육청 > 창의성을 기르는 책
154,"드라이빙 미스 노마 (숨이 붙어 있는 한 재밌게 살고 싶어!,Driving Miss Norma)",시/에세이,팀|라미,고상욱,흐름출판,2018-05-18,9788965962618,352,352,교육청 > 경남교육청 >  교육CEO에게 권하는 책-2018
155,도깨비폰을 개통하시겠습니까?,청소년,박하익,,창비,2018-03-23,9788936442927,192,10800,교육청 > 경남교육청 > 교육 CEO에게 권하는 책 7~9월
156,마음의 집,아동,김희경,,창비,2010-01-30,,0,12000,교육청 > 경남교육청 > 창의성을 기르는 책
157,"아리스토텔레스, 이게 행복이다!",역사/문화,이성주,,생각비행,2018-04-03,9791187708797,160,13000,교육청 > 경남교육청 > 교육 CEO에게 권하는 책 7~9월
158,꽃을 선물할게,인문,강경수,,창비,2018-04-20,9788936455255,52,13000,교육청 > 경남교육청 > 교육 CEO에게 권하는 책 7~9월
159,나도 같이 놀고 싶단 말이야,아동,로렌 차일드,,국민서관,2011-02-28,,0,10000,교육청 > 경남교육청 > 창의성을 기르는 책
160,골드 피쉬 보이 (블랙홀 청소년 문고 006),소설,리사 톰슨,양윤선,블랙홀,2018-03-30,9791188974108,403,13000,교육청 > 경남교육청 > 교육 CEO에게 권하는 책 7~9월
161,디자인은 어디에나 있어!,청소년,이남석|이규리|이규린,,창비,2018-03-09,9788936447236,120,11000,교육청 > 경남교육청 > 교육 CEO에게 권하는 책 7~9월
162,신통방통 태극기,아동,유수진,,좋은책어린이,2011-02-25,,0,8500,교육청 > 경남교육청 > 창의성을 기르는 책
163,나를 지키는 힘 (20인의 철학자가 전하는 삶의 중심 찾기),자기계발,임병희,,생각정원,2018-01-25,9791188388202,248,14000,교육청 > 경남교육청 > 교육 CEO에게 권하는 책 7~9월
164,처음엔 사소했던 일,소설,왕수펀,조윤진,뜨인돌출판사,2018-04-12,9788958076827,160,11000,교육청 > 경남교육청 > 교육 CEO에게 권하는 책 7~9월
165,왜 언론이 문제일까?,사회,박영흠,,반니,2018-02-15,9791187980438,176,13000,교육청 > 경남교육청 > 교육 CEO에게 권하는 책 7~9월
166,"사양합니다, 동네 바보 형이라는 말",사회,류승연,,푸른숲,2018-03-30,9791156757382,306,15000,교육청 > 경남교육청 > 교육 CEO에게 권하는 책 7~9월
167,아이들 눈에 비친 어른 세상 그리고 나,아동,주디스 라자르,,산수야,2011-02-15,,0,12000,교육청 > 경남교육청 > 창의성을 기르는 책
168,하지만...,청소년,안느 방탈,이정주,이마주,2018-04-20,9791189044015,76,9800,교육청 > 경남교육청 > 교육 CEO에게 권하는 책 7~9월
169,안녕 사랑 안녕 행복도,청소년,패니 브리트,박선주,책과콩나무,2018-03-15,9791186490860,160,18000,교육청 > 경남교육청 > 교육 CEO에게 권하는 책 7~9월
170,호랑이의 눈 (Tiger Eyes),소설,주디 블룸,안신혜,창비,2018-05-18,9788936456849,296,12000,교육청 > 경남교육청 > 교육 CEO에게 권하는 책 7~9월
171,앗 도서관의 책들이 사라졌다 (세상 모든 책을 지킨 용감한 아이의 모험),아동,이학건,,토토북,2010-11-30,,0,9500,교육청 > 경남교육청 > 창의성을 기르는 책
172,내 휴대폰 속의 슈퍼스파이,과학/공학,타니아 로이드 치,임경희,푸른숲주니어,2018-05-15,9791156751632,140,11000,교육청 > 경남교육청 > 교육 CEO에게 권하는 책 7~9월
173,숲에서 경영을 가꾸다 (관찰학자 최재천의 경영 십계명),경영/경제,최재천,,메디치미디어,2017-12-20,9791157061099,216,14000,교육청 > 경남교육청 >  교육CEO에게 권하는 책-2018
174,내 짝꿍은 외계인,아동,정영애,,주니어김영사,2011-02-24,,0,8500,교육청 > 경남교육청 > 창의성을 기르는 책
175,네 친구 이야기 (우정에 관한 인도의 우화),아동,라셸 보장 데샹|루이즈 외젤,,비룡소,2010-12-15,,0,9000,교육청 > 경남교육청 > 창의성을 기르는 책
176,"드라이빙 미스 노마 (숨이 붙어 있는 한 재밌게 살고 싶어!,Driving Miss Norma)",시/에세이,팀|라미,고상숙,흐름출판,2018-05-18,9788965962618,352,14000,교육청 > 경남교육청 > 교육 CEO에게 권하는 책 7~9월
177,꼴값 (정연철 장편소설),소설,정연철,,푸른숲주니어,2018-02-22,9791156751601,204,9800,교육청 > 경남교육청 >  교육CEO에게 권하는 책-2018
178,루와 린덴 언제나 함께,아동,고테마리 루이,,한림출판사,2011-02-25,,0,10000,교육청 > 경남교육청 > 창의성을 기르는 책
179,네가 세상에 처음 왔을때,아동,선안나,,학고재,2010-12-15,,0,11000,교육청 > 경남교육청 > 창의성을 기르는 책
180,소설이 묻고 철학이 답하다 (문득 당연한 것이 궁금해질 때 철학에 말 걸어보는 연습),역사/문화,박연숙,,지상의책,2018-02-26,9791196178628,240,13500,교육청 > 경남교육청 >  교육CEO에게 권하는 책-2018
181,딜쿠샤의 추억 (서울시 종로구 행촌동 1번지 아주 특별한 집),청소년,김세미|이미진,,찰리북,2017-12-29,9788994368733,56,13800,교육청 > 경남교육청 >  교육CEO에게 권하는 책-2018
182,천수만에 겨울 철새 보러 가요,아동,이성실,,아이세움,2010-11-25,,0,9000,교육청 > 경남교육청 > 창의성을 기르는 책
183,불곰에게 잡혀간 우리 아빠,청소년,허은미,,여유당,2018-01-25,9788992351638,36,13000,교육청 > 경남교육청 >  교육CEO에게 권하는 책-2018
184,소현 세자의 진짜 공부,역사,설흔,,라임,2017-09-14,9791185871820,220,11000,교육청 > 경남교육청 >  교육CEO에게 권하는 책-2018
185,할머니의 할머니의 할머니의 옷,아동,홍선주,,책읽는곰,2009-11-23,,0,9500,교육청 > 경남교육청 > 창의성을 기르는 책
186,지혜를 배우러 가는 길,아동,알렉스 캐브레라,,파인앤굿,2011-02-15,,0,10000,교육청 > 경남교육청 > 창의성을 기르는 책
187,시로 납치하다 (인생학교에서 시 읽기 1),시/에세이,류시화,,더숲,2018-01-14,9791186900420,248,13000,교육청 > 경남교육청 >  교육CEO에게 권하는 책-2018
188,나는 아이로서 누릴 권리가 있어요,아동,알랭 세레,,고래이야기,2010-12-15,,0,11500,교육청 > 경남교육청 > 창의성을 기르는 책
189,경복궁에 간 불도깨비,아동,김미혜,,시공주니어,2011-02-25,,0,10000,교육청 > 경남교육청 > 창의성을 기르는 책
190,학교 가기 싫은 아이들이 다니는 학교,아동,송미경,,웅진주니어,2010-11-15,,0,9000,교육청 > 경남교육청 > 창의성을 기르는 책
191,최원형의 청소년 소비 특강 (대량 소비가 만든 쓰레기 이야기),역사/문화,최원형,,철수와영희,2017-11-30,9791188215065,232,13000,교육청 > 경남교육청 >  교육CEO에게 권하는 책-2018
192,사소한 소원만 들어주는 두꺼비,인문,전금자,,비룡소,2017-10-25,9788949101903,44,11000,교육청 > 경남교육청 >  교육CEO에게 권하는 책-2018
193,콩 하나면 되겠니,아동,배유안,,창비,2010-06-01,,0,8500,교육청 > 경남교육청 > 창의성을 기르는 책
194,용서의 정원,청소년,로런 톰프슨,,시공주니어,2018-01-25,9788952786456,36,10500,교육청 > 경남교육청 >  교육CEO에게 권하는 책-2018
195,라인,소설,이송현,,사계절,2017-09-05,9791160941012,236,12000,교육청 > 경남교육청 >  교육CEO에게 권하는 책-2018
196,개미핥기,아동,다니엘라 데 루카,,다섯수레,2011-05-01,,0,9000,교육청 > 경남교육청 > 창의성을 기르는 책
197,인문학으로 광고하다 (크리에이티브 디렉터 박웅현의 창의성과 소통의 기술),총류,박웅현,,알마,2009-08-27,,0,17500,교육청 > 경남교육청 > 창의성을 기르는 책
198,상상목공소 (상상력과 창의성은 어떻게 형성되는가),총류,김진송,,톨,2011-03-21,,0,13800,교육청 > 경남교육청 > 창의성을 기르는 책
199,이상한 정상가족,사회,김희경,,동아시아,2017-11-21,9788962622096,284,15000,교육청 > 경남교육청 >  교육CEO에게 권하는 책-2018
200,달처럼 동그란 내 얼굴,소설,미레유 디스데로,,담푸스,2018-01-25,9788994449906,184,11000,교육청 > 경남교육청 >  교육CEO에게 권하는 책-2018
201,창의성의 발견 (창의성은 언제 어디서 무엇에 의해 어떻게 발현되는가),총류,최인수,,쌤앤파커스,2011-01-05,,0,16000,교육청 > 경남교육청 > 창의성을 기르는 책
202,이명옥의 크로싱 (99명의 거장에게서 발견한 생각의 연금술),예술,이명옥,,21세기북스,2011-06-24,,0,16500,교육청 > 경남교육청 > 창의성을 기르는 책
203,하버가 들려주는 화학 산업 이야기,자연과학,신현철,,자음과모음,2011-07-20,,0,9700,교육청 > 경남교육청 > 창의성을 기르는 책
204,"안네 프랑크와 마로니에 나무 (그리고 안네의 성장 이야기, 안네의 일기, 』,The Tree in the Courtyard: Looking through Anne Frank’s Window)",청소년,제프 고츠펠드,,두레아이들,2017-11-05,9788991550865,72,12000,교육청 > 경남교육청 >  교육CEO에게 권하는 책-2018
205,엄마 아빠가 우리를 버렸어요,청소년,이상옥,,산하,2018-02-15,9788976504968,64,11000,교육청 > 경남교육청 >  교육CEO에게 권하는 책-2018
206,일제 강제 동원 이름을 기억하라!,아동,정혜경,,사계절,2017-08-09,9791160941029,128,12000,교육청 > 경남교육청 >  교육CEO에게 권하는 책-2018
207,이유있는 반대 (사형제 왜 문제일까),총류,제라르 도텔,,개마고원,2010-07-30,,0,10000,교육청 > 경남교육청 > 창의성을 기르는 책
208,"내가 내일 죽는다면 (삶을 정돈하는 가장 따뜻한 방법, 데스클리닝,The Gentle Art of Swedish Death Cleaning)",시/에세이,마르가레타 망누손,,시공사,2017-09-20,9788952779229,192,12500,교육청 > 경남교육청 >  교육CEO에게 권하는 책-2018
209,"나의 첫 젠더 수업 (여자 사람과 남자사람, 오래된 질문과 새로운 대답!)",사회,김고연주,,창비,2017-11-10,9788936452278,204,12000,교육청 > 경남교육청 >  교육CEO에게 권하는 책-2018
210,창의성의 또다른 이름 트리즈(TRIZ) (TRIZ),총류,김효준,,인피니티북스,2009-01-15,,0,13000,교육청 > 경남교육청 > 창의성을 기르는 책
211,우리는 작은 가게에서 어른이 되는 중입니다,사회,박진숙,,사계절,2017-12-21,9791160943313,216,13000,교육청 > 경남교육청 >  교육CEO에게 권하는 책-2018
212,폭력 없는 교실은 어디 있나요?,역사/문화,김국태,,팜파스,2017-11-15,9791170261810,252,13000,교육청 > 경남교육청 >  교육CEO에게 권하는 책-2018
213,내 눈에 콩깍지,아동,최은영,,좋은책어린이,2017-11-27,9788928315871,64,8500,교육청 > 경남교육청 >  교육CEO에게 권하는 책-2018
214,잭키 마론과 악당 황금손 (책 먹는 여우가 직접 쓴 탐정 소설),아동,프란치스카 비어만|책 먹는 여우,,주니어김영사,2017-06-29,9788934978381,116,11000,교육청 > 경남교육청 >  교육CEO에게 권하는 책-2018
215,창의성의 즐거움 ('창의적 인간'은 어떻게 만들어지는가),총류,미하이 칙센트미하이,,더난출판사,2003-11-28,,0,18000,교육청 > 경남교육청 > 창의성을 기르는 책
216,창의성 키우는 독서학교 (총명한 아이를 위한 독서방법),아동,조미아,,경향에듀,2010-01-13,,0,12000,교육청 > 경남교육청 > 창의성을 기르는 책
217,우리의 고통을 이해하는 책들 (프랑스의 창조적 독서 치료),역사/문화,레진 드탕벨,,펄북스,2017-11-15,9791187490098,232,14000,교육청 > 경남교육청 >  교육CEO에게 권하는 책-2018
218,내 얘기를 들어주세요,아동,안 에르보,,한울림어린이,2017-08-25,9791187517290,32,12000,교육청 > 경남교육청 >  교육CEO에게 권하는 책-2018
219,브레인스토밍을 중심으로 (생활 속의 창의성 계발 1),총류,전경원,,창지사,2004-05-24,,0,7000,교육청 > 경남교육청 > 창의성을 기르는 책
220,유쾌한 발견력,총류,사카토 켄지,,위너스북,2010-03-25,,0,11000,교육청 > 경남교육청 > 창의성을 기르는 책
221,내일은 내일에게 (김선영 장편소설),문학,김선영,,특별한서재,2017-11-03,9791196149949,224,12000,교육청 > 경남교육청 >  교육CEO에게 권하는 책-2018
222,"대통령님, 할 말이 있어요",아동,안 루와이에,,봄의정원,2017-09-04,9791187154563,32,12000,교육청 > 경남교육청 >  교육CEO에게 권하는 책-2018
223,페페로니 전략,총류,옌스 바이트너,,더난출판사,2006-06-20,,0,9000,교육청 > 경남교육청 > 창의성을 기르는 책
224,괴짜 과학자 주방에 가다 (요리에 숨은 과학원리를 밝히는 신개념 쿠킹북),총류,제프 포터,,이마고,2011-08-20,,0,17000,교육청 > 경남교육청 > 창의성을 기르는 책
225,굿모닝 사이언스,총류,피터 벤틀리,,김영사,2011-03-30,,0,14000,교육청 > 경남교육청 > 창의성을 기르는 책
226,굿모닝 사이언스,총류,피터 벤틀리,,김영사,2011-03-30,,0,14000,교육청 > 경남교육청 > 창의성을 기르는 책
227,원자력 논쟁,학습,오승현,,풀빛,2017-08-25,9791161720173,216,12000,교육청 > 경남교육청 >  교육CEO에게 권하는 책-2018
228,힐빌리의 노래 (위기의 가정과 문화에 대한 회고),시/에세이,J.D.밴스,,흐름출판,2017-09-04,9788965962281,428,428,교육청 > 경남교육청 >  교육CEO에게 권하는 책-2018
229,베르나르 베르베르의 상상력 사전,총류,베르나르 베르베르,,열린책들,2011-03-03,,0,15800,교육청 > 경남교육청 > 창의성을 기르는 책
230,그림으로 키우는 창의성 (상상력에 창의성의 날개를 달자),아동,KIM연구소,,창의와꿈,2010-11-25,,0,12000,교육청 > 경남교육청 > 창의성을 기르는 책
231,우리집은 창의력 놀이터 (강남 LGS 영재연구소의 교육법 공개),아동,이고은,,이지스퍼블리싱,2011-07-15,,0,15000,교육청 > 경남교육청 > 창의성을 기르는 책
232,"10대가 맞이할 세상, 새로운 미래직업 (4차 산업혁명은 우리의 삶을 어떻게 바꿀까?)",자기계발,김승|이정아|정동완,,미디어숲,2017-08-30,9791158740269,260,14800,교육청 > 경남교육청 >  교육CEO에게 권하는 책-2018
233,화난 원숭이들은 모두 어디로 갔을까 (숨어 버린 내 안의 열정과 창의성을 찾아가는 혁신 이야기),총류,송인혁,,아이앤유,2011-10-10,,0,13000,교육청 > 경남교육청 > 창의성을 기르는 책
234,마르지 않는 창의성 (예술적 재능과 성공을 위한 창의성 훈련 코칭),총류,에릭 메이슬,,도솔,2009-06-27,,0,14000,교육청 > 경남교육청 > 창의성을 기르는 책
235,"내 모자 밑에 숨어 있는 창의성의 심리학 (세상을 변화시키는 힘, 창의성의 심리 여행)",총류,박지영,,가산출판사,2007-02-12,,0,12000,교육청 > 경남교육청 > 창의성을 기르는 책
236,"소년아, 나를 꺼내 줘",문학,김진나,,사계절,2017-08-30,9791160941050,196,11000,교육청 > 경남교육청 >  교육CEO에게 권하는 책-2018
237,내 멋대로 혁명 (서화교 장편소설),문학,서화교,,낮은산,2017-09-20,9791155250877,204,11000,교육청 > 경남교육청 > 교육 CEO에게 권하는 책-2017
238,뇌내 폭풍,총류,에릭 마이젤|앤 마이젤,,예문,2010-11-23,,0,13000,교육청 > 경남교육청 > 창의성을 기르는 책
239,생각 3.0 (스마트를 뛰어넘어 크리에이티브로 가는 생각의 도구),총류,노경원,,엘도라도,2010-10-15,,0,13000,교육청 > 경남교육청 > 창의성을 기르는 책
240,세상을 바꿀 용기 (더불어 행복한 세상을 실천하는 청소년 리더 52인의 이야기),시/에세이,존 슐림,,미래인,2017-07-25,9788983948168,312,13000,교육청 > 경남교육청 > 교육 CEO에게 권하는 책-2017
241,그림으로 창의력 키우기,아동,앤드루 파인더,,보물창고,2011-07-05,,0,10800,교육청 > 경남교육청 > 창의성을 기르는 책
242,그림으로 상상력 키우기 (The Boys' Doodle Book),아동,앤드루 파인더,,보물창고,2011-05-20,,0,10800,교육청 > 경남교육청 > 창의성을 기르는 책
243,위대한 직감 (24시간을 이기는 1분),총류,카렌 살만손,,예문,2011-03-21,,0,11000,교육청 > 경남교육청 > 창의성을 기르는 책
244,골드포인트 (숨어있는 치명적 문제를 발견하는 힘),총류,우치다 카즈나리,,비즈니스맵,2010-10-25,,0,12000,교육청 > 경남교육청 > 창의성을 기르는 책
245,박씨 성을 가진 노비,아동,윤영선,,아이앤북,2017-09-05,9791157921041,168,9500,교육청 > 경남교육청 > 교육 CEO에게 권하는 책-2017
246,우리 반 일등은 외계인,아동,비르지니 엘 삼,,스콜라,2017-07-20,9788962478525,56,12000,교육청 > 경남교육청 > 교육 CEO에게 권하는 책-2017
247,"정조 책문, 새로운 국가를 묻다 (개혁군주 정조의 78가지 질문)",역사,정조,,판미동,2017-05-22,9791158882709,440,16500,교육청 > 경남교육청 > 교육 CEO에게 권하는 책-2017
248,안읽어 씨 가족과 책 요리점,아동,김유,,문학동네,2017-05-18,9788954645270,124,10000,교육청 > 경남교육청 > 교육 CEO에게 권하는 책-2017
249,스매싱 (아이디어가 막힐 때 돌파하는 힘),총류,정상수,,해냄출판사,2010-01-30,,0,14000,교육청 > 경남교육청 > 창의성을 기르는 책
250,리딩으로 리드하라 (세상을 지배하는 0.1퍼센트의 인문고전 독서법),총류,이지성,,문학동네,2010-11-17,,0,15000,교육청 > 경남교육청 > 창의성을 기르는 책
251,내 이름은 도도,시/에세이,선푸위,,추수밭,2017-08-04,9791155401064,276,14800,교육청 > 경남교육청 > 교육 CEO에게 권하는 책-2017
252,남산골 두 기자 (붓으로 세상을 바꾸려는 자들의 열혈 취재 활극),문학,정명섭,,서유재,2017-07-25,9791195764877,216,11000,교육청 > 경남교육청 > 교육 CEO에게 권하는 책-2017
253,스티브 잡스의 창의성을 훔쳐라,총류,이동조,,아르볼,2011-04-05,,0,9800,교육청 > 경남교육청 > 창의성을 기르는 책
254,리들 (비즈니스 창의성을 일깨우는 부와 성공의 수수께끼),총류,앤드류 라제기,,명진출판사,2008-10-15,,0,19800,교육청 > 경남교육청 > 창의성을 기르는 책
255,허생전 공부만 한다고 돈이 나올까? (물음표로 따라가는 인문고전 4),학습,고영,,아르볼,2017-06-15,9791185786988,136,11000,교육청 > 경남교육청 > 교육 CEO에게 권하는 책-2017
256,나는 민주주의 세상에서 살고 있을까? (교과서 속 소설로 사회 보기),사회,김세연,,봄풀출판,2017-06-01,9788993677935,128,10000,교육청 > 경남교육청 > 교육 CEO에게 권하는 책-2017
257,건방진 장루이와 68일 (황선미 선생님이 들려주는 관계 이야기),아동,황선미,,스콜라,2017-05-30,9788962478396,148,11000,교육청 > 경남교육청 > 교육 CEO에게 권하는 책-2017
